x1,x2,Resposta,Cliente
-1.579512836301872,0.5658568164942519,0,1
0.9486599674896781,-0.9568596038787843,1,1
1.4166488471037868,-0.6479950250717637,1,1
-2.654966564527075,-0.3451514401705139,0,1
0.42982755480622237,-0.9758894901063312,1,1
-2.1998957027195867,1.071488804677244,0,1
-2.4455574868058116,-1.2140388963018813,0,1
0.7742615121557236,2.7337906739061513,0,1
0.10680691371722455,2.1610230064460185,0,1
-0.2200203847165518,0.3653181331313494,0,1
1.7071501338494925,-0.9761691933921508,1,1
1.0123554660971372,-0.8215216169934337,1,1
1.324890490180269,1.4455229592634593,0,1
0.18375653971693165,1.9178388560200221,0,1
